1|26|20/10/2021|2288930017| |3241|0|112401600010984|39.00|0.00|39.0|0.00|39.00|5.07|E3-AF-A8-2E-9F|1
1|25|11/10/2021|1028627025| |21763|0|263401600015537|24.50|0.00|24.5|0.00|24.50|3.19|49-82-35-EA|1
1|24|12/10/2021|212534020| |39444|0|384401600052024|69.50|0.00|69.5|0.00|69.50|9.04|C0-EA-01-01-B3|1
1|23|14/10/2021|220914020| |157907|0|297401600004747|21.95|0.00|21.95|0.00|21.95|2.85|2A-86-D7-E8-27|1
1|22|15/10/2021|1007131025| |34828|0|457401600004319|115.02|0.00|115.02|0.00|115.02|14.95|7B-8F-20-D8|1
1|21|15/10/2021|1007131025| |34829|0|457401600004319|25.60|0.00|25.6|0.00|25.60|3.33|B6-3C-84-94-06|1
1|20|13/10/2021|1028627025| |15710|0|263401600015544|31.10|0.00|31.1|0.00|31.10|4.04|63-AF-3F-FA-92|1
1|19|11/10/2021|1028627025| |7322|0|263401600015563|12.10|0.00|12.1|0.00|12.10|1.57|A5-15-75-65|1
1|18|12/10/2021|220914020| |155188|0|297401600004747|19.41|0.00|19.41|0.00|19.41|2.52|A1-09-74-F5-D5|1
1|17|10/10/2021|1020269020| |12297|0|267405600016181|23.39|0.00|23.39|0.00|23.39|3.04|A0-55-3E-B5-FA|1
1|16|19/10/2021|220914020| |164331|0|297401600004747|29.53|0.00|29.53|0.00|29.53|3.84|C9-28-F0-AA-F6|1
1|15|01/10/2021|1028627025| |19235|0|263401600015516|29.50|0.00|29.5|0.00|29.50|3.83|83-5C-97-46|1
1|14|05/10/2021|1028627025| |20221|0|263401600015537|80.30|0.00|80.3|0.00|80.30|10.44|3C-62-05-DA-1D|1
1|13|04/10/2021|220914020| |145133|0|297401600004747|28.67|0.00|28.67|0.00|28.67|3.73|81-AF-19-2A-1D|1
1|12|01/10/2021|220914020| |141692|0|297401600004747|16.53|0.00|16.53|0.00|16.53|2.15|06-34-9A-A9-B0|1
1|11|08/10/2021|4844005011| |6541|0|383401600067826|52.00|0.00|52.0|0.00|52.00|6.76|64-26-1C-2D-E2|1
1|10|17/10/2021|220914020| |161688|0|297401600004747|23.52|0.00|23.52|0.00|23.52|3.06|62-F8-72-B8-18|1
1|9|07/10/2021|220914020| |149628|0|297401600004747|24.05|0.00|24.05|0.00|24.05|3.13|D9-F9-FA-70|1
1|8|08/10/2021|1020241028| |2621|0|361401600024561|159.00|0.00|159.0|0.00|159.00|20.67|68-8B-03-98-6A|1
1|7|12/10/2021|220914020| |155689|0|297401600004747|14.89|0.00|14.89|0.00|14.89|1.94|0F-B2-87-AA-28|1
1|6|19/10/2021|1020743029| |2576|0|323401600003231|284.00|0.00|284.0|0.00|284.00|36.92|62-C0-2B-38|1
1|5|18/10/2021|1020389023| |17777|0|416401600078933|579.67|0.00|579.67|0.00|579.67|75.36|30-17-7A-5D-80|1
1|4|31/08/2021|1020289021| |263607|0|416401600080053|36.40|0.00|36.4|0.00|35.90|4.67|85-43-15-18-90|1
1|3|31/08/2021|1020289021| |372354|0|416401600080053|60.00|0.00|60.0|0.00|60.00|7.8|07-D7-2F-EA|1
1|2|08/10/2021|1020241028| |2620|0|361401600024561|20.90|0.00|20.9|0.00|20.90|2.72|ED-C9-BD-D1-BA|1
1|1|15/10/2021|220914020| |159382|0|297401600004747|17.94|0.00|17.94|0.00|17.94|2.33|7F-09-DF-2C-16|1
